"order_month","customer_state","orders_s","gmv_s","aov_s"
"2017-03-01 00:00:00.000","CE","26","5969.98","229.61461538461538"
"2017-03-01 00:00:00.000","RN","13","1741.72","133.97846153846154"
"2017-03-01 00:00:00.000","PA","35","7647.77","218.5077142857143"
"2017-10-01 00:00:00.000","RJ","654","95492.24000000009","146.01259938837936"
"2017-10-01 00:00:00.000","RS","244","37126.32999999998","152.15709016393436"
"2017-10-01 00:00:00.000","SP","1723","219804.08000000042","127.57056297156147"
"2017-10-01 00:00:00.000","MG","542","80710.11000000002","148.91164206642068"
"2017-10-01 00:00:00.000","MS","33","6267.84","189.93454545454546"
"2017-10-01 00:00:00.000","ES","100","10380.69","103.8069"
"2017-10-01 00:00:00.000","GO","106","16591.049999999996","156.51933962264147"
"2017-10-01 00:00:00.000","PB","28","10236.5","365.5892857142857"
"2017-09-01 00:00:00.000","MG","493","71516.26","145.06340770791073"
"2017-09-01 00:00:00.000","PR","176","20882.609999999993","118.65119318181814"
"2017-09-01 00:00:00.000","AC","5","1786.8899999999999","357.378"
"2017-04-01 00:00:00.000","DF","34","7497.6799999999985","220.51999999999995"
"2017-04-01 00:00:00.000","GO","38","5321.93","140.0507894736842"
"2017-04-01 00:00:00.000","MT","25","3282.05","131.282"
"2017-04-01 00:00:00.000","PA","36","4776.15","132.67083333333332"
"2017-04-01 00:00:00.000","RO","7","843.5799999999999","120.51142857142857"
"2018-05-01 00:00:00.000","SE","8","1083.18","135.3975"
"2018-05-01 00:00:00.000","BA","237","34970.43999999999","147.5545991561181"
"2018-05-01 00:00:00.000","ES","132","18652.84","141.30939393939394"
"2018-05-01 00:00:00.000","PB","29","4860.44","167.6013793103448"
"2018-05-01 00:00:00.000","AP","6","955.6800000000001","159.28"
"2017-01-01 00:00:00.000","SC","26","5021.570000000001","193.13730769230773"
"2017-01-01 00:00:00.000","ES","9","816.2","90.6888888888889"
"2017-01-01 00:00:00.000","RN","5","1124.87","224.974"
"2017-08-01 00:00:00.000","SP","1665","191870.59000000046","115.23759159159187"
"2017-08-01 00:00:00.000","SC","152","21798.219999999998","143.40934210526314"
"2017-08-01 00:00:00.000","PA","57","14754.399999999998","258.8491228070175"
"2017-08-01 00:00:00.000","MA","38","5999.2300000000005","157.87447368421053"
