"order_month","delta_aov","effect_lfl","effect_mix"
"2016-10-01 00:00:00.000","17.200226415094193","-5.592675230830982","22.792901645925173"
"2016-12-01 00:00:00.000","-141.27022641509419","-47.3028947368421","-93.9673316782521"
"2017-01-01 00:00:00.000","138.16448000000034","-404.90343935112605","543.0679193511264"
"2017-02-01 00:00:00.000","-7.368533236539633","-7.720754235827844","0.3522209992882104"
"2017-03-01 00:00:00.000","-0.6123450352596649","-1.9265002371657798","1.314155201906115"
"2017-04-01 00:00:00.000","6.840705696896549","6.393374969694195","0.44733072720235434"
"2017-05-01 00:00:00.000","-9.927057002086144","-9.970110969624363","0.043053967538218885"
"2017-06-01 00:00:00.000","-3.4124434054679114","-2.242474889376993","-1.1699685160909183"
"2017-07-01 00:00:00.000","-10.203474372915863","-10.392872890337069","0.18939851742120517"
"2017-08-01 00:00:00.000","7.910510904143578","7.941416438206088","-0.03090553406250951"
"2017-09-01 00:00:00.000","14.06952271628819","13.359462775676267","0.7100599406119237"
"2017-10-01 00:00:00.000","-1.5986038711346566","-1.7422468872766088","0.14364301614195218"
"2017-11-01 00:00:00.000","-9.248237767777624","-8.126025031971565","-1.122212735806059"
"2017-12-01 00:00:00.000","-3.819768594949551","-3.4954675117061615","-0.32430108324338924"
"2018-01-01 00:00:00.000","-0.8919550692527594","-0.49814061089559747","-0.3938144583571619"
"2018-02-01 00:00:00.000","-4.725435591999727","-4.545587787419121","-0.17984780458060534"
"2018-03-01 00:00:00.000","10.05804088451562","10.189123512937018","-0.13108262842139773"
"2018-04-01 00:00:00.000","7.073491950892162","7.277973392907775","-0.2044814420156129"
"2018-05-01 00:00:00.000","1.6339955566842548","2.646436418951345","-1.0124408622670904"
"2018-06-01 00:00:00.000","-4.479250541838439","-5.241828000343155","0.7625774585047154"
"2018-07-01 00:00:00.000","0.560769833867198","-0.7929603561017383","1.3537301899689362"
"2018-08-01 00:00:00.000","-8.885893135944116","-5.581681571689332","-3.304211564254784"
