"order_month","month_index","sort_in_month","sort_key","stage","component","amount","is_total"
"2016-12-01 00:00:00.000","2","0","20","Start","AOV","152.1702264150942","true"
"2017-01-01 00:00:00.000","3","0","30","Start","AOV","10.9","true"
"2017-02-01 00:00:00.000","4","0","40","Start","AOV","149.06448000000034","true"
"2017-03-01 00:00:00.000","5","0","50","Start","AOV","141.6959467634607","true"
"2017-04-01 00:00:00.000","6","0","60","Start","AOV","141.08360172820105","true"
"2017-05-01 00:00:00.000","7","0","70","Start","AOV","147.9243074250976","true"
"2017-06-01 00:00:00.000","8","0","80","Start","AOV","137.99725042301148","true"
"2017-07-01 00:00:00.000","9","0","90","Start","AOV","134.5848070175437","true"
"2017-08-01 00:00:00.000","10","0","100","Start","AOV","124.38133264462768","true"
"2017-09-01 00:00:00.000","11","0","110","Start","AOV","132.29184354877125","true"
"2017-10-01 00:00:00.000","12","0","120","Start","AOV","146.36136626505944","true"
"2017-11-01 00:00:00.000","13","0","130","Start","AOV","144.7627623939248","true"
"2017-12-01 00:00:00.000","14","0","140","Start","AOV","135.51452462614705","true"
"2018-01-01 00:00:00.000","15","0","150","Start","AOV","131.6947560311976","true"
"2018-02-01 00:00:00.000","16","0","160","Start","AOV","130.80280096194485","true"
"2018-03-01 00:00:00.000","17","0","170","Start","AOV","126.07736536994513","true"
"2018-04-01 00:00:00.000","18","0","180","Start","AOV","136.13540625446075","true"
"2018-05-01 00:00:00.000","19","0","190","Start","AOV","143.2088982053529","true"
"2018-06-01 00:00:00.000","20","0","200","Start","AOV","144.84289376203716","true"
"2018-07-01 00:00:00.000","21","0","210","Start","AOV","140.36364322019872","true"
"2018-08-01 00:00:00.000","22","0","220","Start","AOV","140.92441305406592","true"
