"order_month","month_index","sort_in_month","sort_key","stage","component","amount","is_total"
"2017-02-01 00:00:00.000","4","2","42","AOV","AOV","-5526.3999274047255","false"
"2017-03-01 00:00:00.000","5","2","52","AOV","AOV","-1012.2063432841321","false"
"2017-04-01 00:00:00.000","6","2","62","AOV","AOV","17416.43670429847","false"
"2017-05-01 00:00:00.000","7","2","72","AOV","AOV","-22862.012275804325","false"
"2017-06-01 00:00:00.000","8","2","82","AOV","AOV","-12100.524315789215","false"
"2017-07-01 00:00:00.000","9","2","92","AOV","AOV","-31987.89215909132","false"
"2017-08-01 00:00:00.000","10","2","102","AOV","AOV","30629.498220843936","false"
"2017-09-01 00:00:00.000","11","2","112","AOV","AOV","58993.50874939638","false"
"2017-10-01 00:00:00.000","12","2","122","AOV","AOV","-6634.206065208825","false"
"2017-11-01 00:00:00.000","13","2","132","AOV","AOV","-41413.6087241082","false"
"2017-12-01 00:00:00.000","14","2","142","AOV","AOV","-27842.293288587276","false"
"2018-01-01 00:00:00.000","15","2","152","AOV","AOV","-4917.348296790462","false"
"2018-02-01 00:00:00.000","16","2","162","AOV","AOV","-33404.104199846064","false"
"2018-03-01 00:00:00.000","17","2","172","AOV","AOV","65930.45799799988","false"
"2018-04-01 00:00:00.000","18","2","182","AOV","AOV","49535.66413209781","false"
"2018-05-01 00:00:00.000","19","2","192","AOV","AOV","11107.901794339565","false"
"2018-06-01 00:00:00.000","20","2","202","AOV","AOV","-30230.46190686763","false"
"2018-07-01 00:00:00.000","21","2","212","AOV","AOV","3420.135216756041","false"
"2018-08-01 00:00:00.000","22","2","222","AOV","AOV","-54728.21582427981","false"
"2016-10-01 00:00:00.000","1","3","13","Interaction","Interaction","4540.859773584867","false"
"2016-12-01 00:00:00.000","2","3","23","Interaction","Interaction","37295.33977358486","false"
"2017-01-01 00:00:00.000","3","3","33","Interaction","Interaction","103485.19552000023","false"
"2017-02-01 00:00:00.000","4","3","43","Interaction","Interaction","-6653.785512595264","false"
"2017-03-01 00:00:00.000","5","3","53","Interaction","Interaction","-546.82411648683","false"
"2017-04-01 00:00:00.000","6","3","63","Interaction","Interaction","-1662.2914843458477","false"
"2017-05-01 00:00:00.000","7","3","73","Interaction","Interaction","-12339.331853593041","false"
"2017-06-01 00:00:00.000","8","3","83","Interaction","Interaction","1402.5142396473116","false"
"2017-07-01 00:00:00.000","9","3","93","Interaction","Interaction","-7519.9606128389805","false"
"2017-08-01 00:00:00.000","10","3","103","Interaction","Interaction","2539.2740002300748","false"
"2017-09-01 00:00:00.000","11","3","113","Interaction","Interaction","-604.9894768003921","false"
"2017-10-01 00:00:00.000","12","3","123","Interaction","Interaction","-524.3420697321674","false"
"2017-11-01 00:00:00.000","13","3","133","Interaction","Interaction","-25996.7963652229","false"
"2017-12-01 00:00:00.000","14","3","143","Interaction","Interaction","6783.909024630402","false"
"2018-01-01 00:00:00.000","15","3","153","Interaction","Interaction","-1387.8820877572934","false"
"2018-02-01 00:00:00.000","16","3","163","Interaction","Interaction","2428.8738942878595","false"
"2018-03-01 00:00:00.000","17","3","173","Interaction","Interaction","4506.002316262998","false"
"2018-04-01 00:00:00.000","18","3","183","Interaction","Interaction","-1450.0658499328933","false"
"2018-05-01 00:00:00.000","19","3","193","Interaction","Interaction","-80.06578227752848","false"
"2018-06-01 00:00:00.000","20","3","203","Interaction","Interaction","2911.5128521949855","false"
"2018-07-01 00:00:00.000","21","3","213","Interaction","Interaction","33.64619003203188","false"
"2018-08-01 00:00:00.000","22","3","223","Interaction","Interaction","-1706.0914821012702","false"
